Mods count: 106
 
jar name                                                    | mod id (isMCreator)                                     | mixin configs
functionalstorage-1.20.1-1.2.10.jar                         | functionalstorage                                       | 
Glodium-1.20-1.5-forge.jar                                  | glodium                                                 | 
gm_construct-1.0.9.jar                                      | gm_construct                                            | gm_construct.mixins.json
gtca-1.20.1-2.1.0-beta.jar                                  | gtca                                                    | 
gtceu-1.20.1-7.4.0.jar                                      | gtceu                                                   | gtceu.mixins.json, assets/gtceu/blockstates/reaction_safe_mixing_casing.json, assets/gtceu/models/block/reaction_safe_mixing_casing.json, assets/gtceu/models/item/reaction_safe_mixing_casing.json
    /META-INF/jarjar/Registrate-MC1.20-1.3.11.jar           |                                                         | 
    /META-INF/jarjar/configuration-forge-1.20.1-2.2.0.jar   | configuration                                           | configuration.mixins.json
    /META-INF/jarjar/ldlib-forge-1.20.1-1.0.40.b.jar        | ldlib                                                   | ldlib-common.mixins.json, ldlib.mixins.json
gtmthings-1.5.4.jar                                         | gtmthings                                               | gtmthings.mixins.json
gtmutils-2.5.0.jar                                          | gtmutils                                                | examplemod.mixins.json
gtnn-1.20.1-1.3.5.jar                                       | gtnn                                                    | gtnn.mixins.json
    /META-INF/jarjar/kotlinforforge-4.20.0.jar              |                                                         | 
        /META-INF/jarjar/kfflang-4.20.0.jar                 |                                                         | 
        /META-INF/jarjar/kffmod-4.20.0.jar                  | kotlinforforge                                          | 
        /META-INF/jarjar/kfflib-4.20.0.jar                  |                                                         | 
guideme-20.1.14.jar                                         | guideme                                                 | 
Iceberg-1.20.1-forge-1.1.25.jar                             | iceberg                                                 | iceberg.mixins.json
imfast-FORGE-1.20.1-1.0.2.jar                               | imfast                                                  | imfast.mixins.json
ImmersiveUI-FORGE-0.3.0.jar                                 | immersiveui                                             | immersiveui-common.mixins.json, immersiveui.mixins.json
item-filters-forge-2001.1.0-build.59.jar                    | itemfilters                                             | itemfilters-common.mixins.json
Jade-1.20.1-Forge-11.13.2.jar                               | jade                                                    | jade.mixins.json
JadeAddons-1.20.1-Forge-5.5.0.jar                           | jadeaddons                                              | jadeaddons.mixins.json
jei-1.20.1-forge-15.20.0.128.jar                            | jei                                                     | 
kotlinforforge-4.12.0-all.jar                               |                                                         | 
    /META-INF/jarjar/kfflang-4.12.0.jar                     |                                                         | 
    /META-INF/jarjar/kfflib-4.12.0.jar                      |                                                         | 
    /META-INF/jarjar/kffmod-4.12.0.jar                      | kotlinforforge                                          | 
kubejs-create-forge-2001.3.0-build.8.jar                    | kubejs_create                                           | 
kubejs-forge-2001.6.5-build.16.jar                          | kubejs                                                  | kubejs-common.mixins.json, kubejs-forge.mixins.json
